ingredient,final_action,avoid_count,prefer_count,neutral_count,example_disease,example_action,example_pmid,example_sentence
aralia cordata,prefer,0,1,0,stroke,prefer,19557371,"In future, |Aralia cordata| might play a therapeutic role in the prevention and treatment of |neurodegeneration in stroke|."
celery,prefer,0,1,0,stroke,prefer,24034079,"BACKGROUND: Dl-3-n-butylphthalide (NBP), first isolated from the seeds of |celery|, showed efficacy in animal models of |stroke|."
cheese,avoid,1,0,0,migraine disorder,avoid,12657413,"The list of foods, beverages, and additives that trigger |migraine| includes |cheese|, chocolate, citrus fruits, hot dogs, monosodium glutamate, aspartame, fatty foods, ice cream, caffeine withdrawal,"
cocoa,avoid,1,0,0,stroke,avoid,19577379,"The Kuna Indians of Panama, who regularly consume large amounts of flavanol-rich |cocoa|, are virtually free of hypertension and |stroke|, even though they salt their food."
coffee,avoid,1,1,0,stroke,prefer,23493733,CONCLUSIONS: Higher green tea and |coffee| consumption were inversely associated with risk of CVD and |stroke| in general population.
gastrodia elata,prefer,0,1,0,stroke,prefer,17089323,"The phenolic glucoside gastrodin (Gas) is a main component extracted from the rhizome of |Gastrodia elata|, a Chinese herbal medicine, which has long been used for treating dizziness, epilepsy, |strok"
ginkgo biloba,prefer,0,1,0,stroke,prefer,22100334,"EGb761 is a standard extract of |Ginkgo biloba|, which is a kind of traditional Chinese herbs that has widely used in clinic treatment of |stroke| in China."
ginseng,prefer,0,1,0,stroke,prefer,25498890,"OBJECTIVE ""AIMS"": Ginsenoside-Rg1 (G-Rg1), a saponin that is a primary component of |ginseng|, is very useful and important in traditional Chinese medicine for |stroke|."
peppermint,prefer,0,1,0,migraine disorder,prefer,12509588,"There seemed to be greater improvement when therapy (famotidine, pizotifen, |peppermint| oil) was targeted to the specific functional gastrointestinal disorder (dyspepsia, |abdominal migraine|, irrita"
pork,avoid,1,0,0,migraine disorder,avoid,8681169,"A certain number such as citrus fruits, tea, coffee, |pork|, chocolate, milk, nuts, vegetables and cola drinks have been cited as possible allergens associated with |migraine|."
rhubarb,prefer,0,1,0,stroke,prefer,26495006,|Rhubarb| root and rhizome (RRR) has been clinically used for |stroke| at least 2000 years and is still used in modern times in both China and elsewhere worldwide.
scutellaria baicalensis,prefer,0,1,0,stroke,prefer,15467195,"These findings, along with previous reports demonstrating the neuroprotective effects of wogonin, provide strong pharmacological basis for the use of wogonin or |Scutellaria baicalensis| in the treatm"
tanacetum parthenium,prefer,0,1,0,migraine disorder,prefer,16033387,|Tanacetum parthenium| (TP) is a member of the Asteracee family long used empirically as a herbal remedy for |migraine|.
verbascum thapsus l.,prefer,0,1,0,migraine disorder,prefer,21834240,"|Verbascum thapsus L.| is a medicinal plant and has been used to treat numerous pulmonary diseases, asthma, inflammatory disease, spasmodic coughs and |migraine headaches|."
white wine,avoid,1,0,0,migraine disorder,avoid,10370878,"Moreover, it emerged that alcoholic beverage intake during stress periods was related to a significantly higher frequency of |migraine| attacks (p > 0.0001 for spirits and sparkling wines, p > 0.009 f"
